b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
200,200,0,4,0,298,23.41,1600,80,80,808,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.4,1,2.39616
200,200,0,4,0,298,23.41,800,40,40,1263,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,13.8453169,0.142451506,0.2,1,1.19808
200,200,0,4,0,298,23.41,1200,40,40,1214,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,20.76797535,0.213677259,0.2,1,1.19808
200,200,0,4,0,298,23.41,2000,40,40,1161,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,34.61329224,0.356128765,0.2,1,1.19808
200,200,0,4,0,298,23.41,1600,60,60,956,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.3,1,1.79712
200,200,0,4,0,298,23.41,1600,80,80,814,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.4,1,2.39616
200,200,0,4,0,298,23.41,1600,100,100,709,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.5,1,2.9952
200,200,0,4,0,298,23.41,1600,120,120,645,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.6,1,3.59424
200,200,0,4,0,298,23.41,1600,40,40,1229,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
200,200,0,3,0,301,23.41,1600,40,40,1002,0,66.66666667,37636,2328,109.4527792,3.334349009,0.333333333,0.795324934,3.056535914,27.70033935,0.293553206,0.2,1,1.19892
200,200,0,4,0,298,23.41,1600,40,40,1042,0,50,36864,3072,108.3244,4.423210198,0.333333333,1.060800228,4.056077973,27.6906338,0.284903012,0.2,1,1.19808
210,210,0,4.8,0,360,70.3,1000,56.6,56.6,950.8,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,16.47847662,0.219171303,0.26952381,1,1.613763359
210,210,0,4.8,0,360,70.3,1800,28.3,28.3,1461.7,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,29.66125791,0.394508346,0.134761905,1,0.806881679
210,210,0,4.8,0,360,70.3,1800,42.4,42.4,1122.2,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,29.66125791,0.394508346,0.201904762,1,1.208896933
210,210,0,4.8,0,360,70.3,1800,56.6,56.6,957.1,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,29.66125791,0.394508346,0.26952381,1,1.613763359
210,210,0,4.8,0,360,70.3,1800,34.5,34.5,1228.7,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,29.66125791,0.394508346,0.164285714,1,0.983654344
210,210,0,4.8,0,360,70.3,2600,56.6,56.6,806.9,0,43.75,40160.16,3847.68,113.0635925,5.292355941,0.333333333,0.490626145,5.617039921,42.8440392,0.569845389,0.26952381,1,1.613763359
199.9,200,0,3.99,0,480.05,68.7,1280,0,0,3595,0,50.10025063,36852.4784,3063.8412,108.3074707,4.41235521,0.333333333,0.580937336,6.518944339,22.15258684,0.313203973,0,0,0
199.7,199.9,0,2.99,0,400.37,68.7,1280,0,0,3485,0,66.78929766,37566.1824,2318.0872,109.3512105,3.323353224,0.333333333,0.35961475,4.055955497,22.17140375,0.314608119,0,0,0
199.8,199.8,0,3.99,0,480.05,68.7,1280,40,40,2079,0,50.07518797,36794.9124,3061.4472,108.2228459,4.412287537,0.333333333,0.581391579,6.523941762,22.17473504,0.313483074,0.2002002,1,1.199285046
200,199.9,0,2.99,0,400.37,68.7,1280,40,40,2277,0,66.88963211,37624.3584,2319.8812,109.4358499,3.323390804,0.333333333,0.359336583,4.052864388,22.17141866,0.314609827,0.20010005,1,1.199526415
199.9,199.6,0,3.99,0,480.05,68.7,2480,40,40,2023,0,50.10025063,36775.7104,3060.6492,108.1946033,4.412266301,0.333333333,0.581543521,6.525613332,43.00658156,0.607908237,0.200400802,1,1.200485773
200,199.9,0,2.99,0,400.37,68.7,2480,40,40,1876,0,66.88963211,37624.3584,2319.8812,109.4358499,3.323390804,0.333333333,0.359336583,4.052864388,42.95712365,0.609556541,0.20010005,1,1.199526415
199.9,199.8,0,4,0,480.05,68.7,2480,60,60,1743,0,49.975,36806.42,3069.6,108.2397679,4.423142507,0.333333333,0.582757599,6.538969306,42.96339413,0.607211847,0.3003003,1,1.79891459
199.7,199.7,0,2.97,0,400.37,68.7,2480,60,60,1502,0,67.23905724,37542.9376,2301.8688,109.3173737,3.301433736,0.333333333,0.357319819,4.030451215,43.00035436,0.61058357,0.300450676,1,1.801109128
120.4,120.4,0,3.82,0,430.6,139.42,360,0,0,2576,0,31.51832461,12714.8176,1722.9728,63.61801744,4.173511668,0.333333333,0.418520981,9.416169594,10.33690479,0.160570318,0,0,0
120.4,120.4,0,3.82,0,430.6,139.42,360,0,0,2701,0,31.51832461,12714.8176,1722.9728,63.61801744,4.173511668,0.333333333,0.418520981,9.416169594,10.33690479,0.160570318,0,0,0
